epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.048,2.40301,3.34839,1.93927,0.37144,0.15227,0.05714,0.01953,2.70744,4.07068,2.25261,0.000415235,0.000415235,0.000415235
2,167.19,2.51611,2.80622,2.06558,0.08233,0.14881,0.06198,0.01978,2.77397,4.14247,2.40709,0.000823666,0.000823666,0.000823666
3,254.14,2.49694,2.79067,2.04373,0.1124,0.09645,0.04716,0.01636,2.94092,3.68665,2.4421,0.00122385,0.00122385,0.00122385
4,340.246,2.48318,2.71914,2.01985,0.13891,0.20885,0.1055,0.03706,2.46337,3.12097,2.03002,0.00121287,0.00121287,0.00121287
5,427.674,2.39027,2.66918,1.96685,0.17345,0.1739,0.11338,0.04061,2.43976,3.05173,2.03494,0.0012005,0.0012005,0.0012005
6,514.293,2.30495,2.54855,1.91656,0.30323,0.19042,0.13265,0.05037,2.33618,2.6235,1.99523,0.00118812,0.00118812,0.00118812
7,602.662,2.2892,2.52047,1.87973,0.27199,0.2245,0.17421,0.06526,2.31359,2.56977,1.95803,0.00117575,0.00117575,0.00117575
8,689.66,2.22935,2.42941,1.8429,0.24503,0.26346,0.18397,0.07236,2.27641,2.5145,1.89675,0.00116337,0.00116337,0.00116337
9,776.74,2.18731,2.3671,1.81043,0.18172,0.21003,0.14508,0.056,2.33814,2.46509,1.9572,0.001151,0.001151,0.001151
10,862.777,2.18484,2.3409,1.78322,0.54956,0.20185,0.19057,0.07746,2.24718,2.4082,1.87985,0.00113863,0.00113863,0.00113863
11,950.348,2.15526,2.28574,1.7733,0.29249,0.25188,0.18444,0.07521,2.28595,2.42801,1.94029,0.00112625,0.00112625,0.00112625
12,1039.02,2.12761,2.26013,1.78101,0.28329,0.28069,0.21872,0.08672,2.19968,2.25554,1.88372,0.00111388,0.00111388,0.00111388
13,1126.08,2.10751,2.24287,1.73976,0.301,0.29202,0.23031,0.09315,2.17522,2.22763,1.83391,0.0011015,0.0011015,0.0011015
14,1213.74,2.11194,2.19369,1.73763,0.34521,0.28603,0.24664,0.10389,2.08583,2.21539,1.77793,0.00108913,0.00108913,0.00108913
15,1306.44,2.0673,2.16275,1.71642,0.29569,0.2515,0.20879,0.08659,2.18455,2.2911,1.83861,0.00107675,0.00107675,0.00107675
16,1402.94,2.08271,2.1527,1.71722,0.30986,0.32545,0.26176,0.11393,2.13567,2.13534,1.79241,0.00106437,0.00106437,0.00106437
17,1493.63,2.04687,2.09541,1.6862,0.35878,0.31551,0.26249,0.10829,2.15059,2.20186,1.80662,0.001052,0.001052,0.001052
18,1598.17,2.02892,2.08152,1.68434,0.38538,0.30764,0.27705,0.10519,2.13857,2.18791,1.82207,0.00103962,0.00103962,0.00103962
19,1700.66,2.01665,2.06309,1.68459,0.34122,0.29655,0.24839,0.10666,2.08855,2.1942,1.77957,0.00102725,0.00102725,0.00102725
